Chrom	Pos	Cov	Sample	Lane
6	159787	189	1014489333.bam	8_lane
7	1596999	67	1014489333.bam	8_lane
8	89439939	271	1014489333.bam	8_lane
9	20682464	2835	1014489333.bam	8_lane
10	70838951	125	1014489333.bam	8_lane
11	10192	359	1014489333.bam	8_lane
12	77630086	5607	1014489333.bam	8_lane
13	61272730	182	1014489333.bam	8_lane
14	49973513	427	1014489333.bam	8_lane
15	23268892	69	1014489333.bam	8_lane
16	89983	572	1014489333.bam	8_lane
17	16529565	8002	1014489333.bam	8_lane
18	20696147	215	1014489333.bam	8_lane
19	58982218	192	1014489333.bam	8_lane
1	1591532	252	1016317415.bam	1_lane
2	99517169	30	1016317415.bam	1_lane
3	67630336	85	1016317415.bam	1_lane
4	4480226	12	1016317415.bam	1_lane
5	107896830	187	1016317415.bam	1_lane
6	159804	26	1016317415.bam	1_lane
7	32924909	12	1016317415.bam	1_lane
8	89439942	32	1016317415.bam	1_lane
9	13090	358	1016317415.bam	1_lane
10	85854823	10	1016317415.bam	1_lane
11	40971550	28	1016317415.bam	1_lane
12	77630086	630	1016317415.bam	1_lane
13	53193269	15	1016317415.bam	1_lane
14	49973533	63	1016317415.bam	1_lane
15	75282054	11	1016317415.bam	1_lane
16	89983	41	1016317415.bam	1_lane
17	16529565	1020	1016317415.bam	1_lane
18	20696181	24	1016317415.bam	1_lane
19	58982219	24	1016317415.bam	1_lane
1	1591532	824	1016317415.bam	2_lane
2	99517169	40	1016317415.bam	2_lane
3	67630336	150	1016317415.bam	2_lane
4	112362988	21	1016317415.bam	2_lane
5	107896830	357	1016317415.bam	2_lane
6	159804	53	1016317415.bam	2_lane
7	21764904	21	1016317415.bam	2_lane
8	89439942	55	1016317415.bam	2_lane
9	13090	636	1016317415.bam	2_lane
10	70838951	19	1016317415.bam	2_lane
11	40971550	42	1016317415.bam	2_lane
12	77630087	1175	1016317415.bam	2_lane
13	61272733	22	1016317415.bam	2_lane
14	49973528	117	1016317415.bam	2_lane
15	29505756	19	1016317415.bam	2_lane
16	89983	88	1016317415.bam	2_lane
17	16529565	2393	1016317415.bam	2_lane
18	20696169	44	1016317415.bam	2_lane
19	58982219	53	1016317415.bam	2_lane
1	1591532	1338	1016317415.bam	4_lane
2	99517169	98	1016317415.bam	4_lane
3	67630336	322	1016317415.bam	4_lane
4	112362988	43	1016317415.bam	4_lane
5	107896830	737	1016317415.bam	4_lane
6	159804	109	1016317415.bam	4_lane
7	5387198	35	1016317415.bam	4_lane
8	89439942	108	1016317415.bam	4_lane
9	13090	1319	1016317415.bam	4_lane
10	70838951	40	1016317415.bam	4_lane
11	40971550	92	1016317415.bam	4_lane
12	77630086	2425	1016317415.bam	4_lane
13	74590492	42	1016317415.bam	4_lane
14	49973528	236	1016317415.bam	4_lane
15	74406231	30	1016317415.bam	4_lane
16	89983	168	1016317415.bam	4_lane
17	16529565	4521	1016317415.bam	4_lane
18	20696169	88	1016317415.bam	4_lane
19	58982219	102	1016317415.bam	4_lane
1	1591530	2772	1016317415.bam	8_lane
2	99517169	242	1016317415.bam	8_lane
3	67630336	727	1016317415.bam	8_lane
4	112362988	82	1016317415.bam	8_lane
5	107896830	1573	1016317415.bam	8_lane
6	159804	238	1016317415.bam	8_lane
7	22511920	69	1016317415.bam	8_lane
8	89439939	281	1016317415.bam	8_lane
9	13090	2950	1016317415.bam	8_lane
10	70838951	87	1016317415.bam	8_lane
11	40971550	214	1016317415.bam	8_lane
12	77630085	5435	1016317415.bam	8_lane
13	36888631	83	1016317415.bam	8_lane
14	49973516	544	1016317415.bam	8_lane
15	29354581	59	1016317415.bam	8_lane
16	89983	419	1016317415.bam	8_lane
17	16529549	8007	1016317415.bam	8_lane
18	20696166	233	1016317415.bam	8_lane
19	58982219	271	1016317415.bam	8_lane
1	1591532	250	1016318133.bam	1_lane
2	99517169	45	1016318133.bam	1_lane
3	67630336	68	1016318133.bam	1_lane
4	118575518	10	1016318133.bam	1_lane
5	107896830	196	1016318133.bam	1_lane
6	159801	26	1016318133.bam	1_lane
7	85494604	9	1016318133.bam	1_lane
8	89439942	30	1016318133.bam	1_lane
9	13090	500	1016318133.bam	1_lane
10	82598617	10	1016318133.bam	1_lane
11	10193	24	1016318133.bam	1_lane
12	77630088	520	1016318133.bam	1_lane
13	61272730	18	1016318133.bam	1_lane
14	49973533	45	1016318133.bam	1_lane
15	52704062	12	1016318133.bam	1_lane
16	89983	38	1016318133.bam	1_lane
17	16529566	861	1016318133.bam	1_lane
18	20696169	30	1016318133.bam	1_lane
19	58982219	24	1016318133.bam	1_lane
1	1591532	716	1016318133.bam	2_lane
2	99517169	95	1016318133.bam	2_lane
3	67630336	111	1016318133.bam	2_lane
4	112362988	20	1016318133.bam	2_lane
5	107896830	354	1016318133.bam	2_lane
6	159804	51	1016318133.bam	2_lane
7	62285248	21	1016318133.bam	2_lane
8	89439942	48	1016318133.bam	2_lane
9	13087	956	1016318133.bam	2_lane
10	33933218	18	1016318133.bam	2_lane
11	10192	59	1016318133.bam	2_lane
12	77630083	1006	1016318133.bam	2_lane
13	61272728	37	1016318133.bam	2_lane
14	49973532	75	1016318133.bam	2_lane
15	80838716	18	1016318133.bam	2_lane
16	89983	92	1016318133.bam	2_lane
17	16529565	2067	1016318133.bam	2_lane
18	20696156	68	1016318133.bam	2_lane
19	58982219	39	1016318133.bam	2_lane
1	1591532	1193	1016318133.bam	4_lane
2	99517169	186	1016318133.bam	4_lane
3	67630336	236	1016318133.bam	4_lane
4	65298687	32	1016318133.bam	4_lane
5	107896830	745	1016318133.bam	4_lane
6	159801	100	1016318133.bam	4_lane
7	62285248	38	1016318133.bam	4_lane
8	89439942	107	1016318133.bam	4_lane
9	13087	1942	1016318133.bam	4_lane
10	72247435	32	1016318133.bam	4_lane
11	10192	110	1016318133.bam	4_lane
12	77630083	2061	1016318133.bam	4_lane
13	61272728	74	1016318133.bam	4_lane
14	49973532	164	1016318133.bam	4_lane
15	78975092	33	1016318133.bam	4_lane
16	89983	171	1016318133.bam	4_lane
17	16529565	3886	1016318133.bam	4_lane
18	20696155	126	1016318133.bam	4_lane
19	58982219	78	1016318133.bam	4_lane
1	1591532	2274	1016318133.bam	8_lane
2	99517169	374	1016318133.bam	8_lane
3	67630336	463	1016318133.bam	8_lane
4	112362988	68	1016318133.bam	8_lane
5	107896830	1510	1016318133.bam	8_lane
6	159801	215	1016318133.bam	8_lane
7	73831346	62	1016318133.bam	8_lane
8	89439939	215	1016318133.bam	8_lane
9	13087	4269	1016318133.bam	8_lane
10	72247435	66	1016318133.bam	8_lane
11	10192	169	1016318133.bam	8_lane
12	77630083	4116	1016318133.bam	8_lane
13	61272728	160	1016318133.bam	8_lane
14	49973532	366	1016318133.bam	8_lane
15	23268892	53	1016318133.bam	8_lane
16	89983	336	1016318133.bam	8_lane
17	16529565	7831	1016318133.bam	8_lane
18	20696155	241	1016318133.bam	8_lane
19	58982219	153	1016318133.bam	8_lane
1	1591532	228	1016447023.bam	1_lane
2	111820057	17	1016447023.bam	1_lane
3	67630336	47	1016447023.bam	1_lane
4	49733282	10	1016447023.bam	1_lane
5	107896830	189	1016447023.bam	1_lane
6	159804	19	1016447023.bam	1_lane
7	21764891	13	1016447023.bam	1_lane
8	89439943	19	1016447023.bam	1_lane
9	13090	436	1016447023.bam	1_lane
10	70838951	14	1016447023.bam	1_lane
11	10193	47	1016447023.bam	1_lane
12	77630087	679	1016447023.bam	1_lane
13	61831047	12	1016447023.bam	1_lane
14	49973529	52	1016447023.bam	1_lane
15	74770322	10	1016447023.bam	1_lane
16	89983	48	1016447023.bam	1_lane
17	16529567	928	1016447023.bam	1_lane
18	48109860	11	1016447023.bam	1_lane
19	58982219	32	1016447023.bam	1_lane
1	1591532	610	1016447023.bam	2_lane
2	111820057	45	1016447023.bam	2_lane
3	67630336	88	1016447023.bam	2_lane
4	15012001	16	1016447023.bam	2_lane
5	107896830	372	1016447023.bam	2_lane
6	159804	39	1016447023.bam	2_lane
7	62285248	16	1016447023.bam	2_lane
8	89439942	47	1016447023.bam	2_lane
9	13090	733	1016447023.bam	2_lane
10	72247435	20	1016447023.bam	2_lane
11	10193	71	1016447023.bam	2_lane
12	77630086	1289	1016447023.bam	2_lane
13	60996899	18	1016447023.bam	2_lane
14	49973528	111	1016447023.bam	2_lane
15	75894791	16	1016447023.bam	2_lane
16	89983	89	1016447023.bam	2_lane
17	16529567	2090	1016447023.bam	2_lane
18	66482346	23	1016447023.bam	2_lane
19	58982219	40	1016447023.bam	2_lane
1	1591532	1075	1016447023.bam	4_lane
2	111820053	82	1016447023.bam	4_lane
3	67630336	196	1016447023.bam	4_lane
4	105347673	28	1016447023.bam	4_lane
5	107896830	754	1016447023.bam	4_lane
6	159804	69	1016447023.bam	4_lane
7	21764891	28	1016447023.bam	4_lane
8	89439939	80	1016447023.bam	4_lane
9	13090	1572	1016447023.bam	4_lane
10	86184402	32	1016447023.bam	4_lane
11	10193	152	1016447023.bam	4_lane
12	77630086	2627	1016447023.bam	4_lane
13	27283488	32	1016447023.bam	4_lane
14	49973528	216	1016447023.bam	4_lane
15	80838716	27	1016447023.bam	4_lane
16	89983	191	1016447023.bam	4_lane
17	16529567	3928	1016447023.bam	4_lane
18	1059553	44	1016447023.bam	4_lane
19	58982219	93	1016447023.bam	4_lane
1	1591532	1880	1016447023.bam	8_lane
2	111820053	140	1016447023.bam	8_lane
3	67630336	341	1016447023.bam	8_lane
4	112362988	52	1016447023.bam	8_lane
5	107896830	1260	1016447023.bam	8_lane
6	159804	137	1016447023.bam	8_lane
7	4709350	49	1016447023.bam	8_lane
8	89439939	181	1016447023.bam	8_lane
9	13090	2937	1016447023.bam	8_lane
10	72247435	56	1016447023.bam	8_lane
11	10192	248	1016447023.bam	8_lane
12	77630086	4686	1016447023.bam	8_lane
13	60906780	53	1016447023.bam	8_lane
14	49973528	410	1016447023.bam	8_lane
15	44051888	47	1016447023.bam	8_lane
16	89983	351	1016447023.bam	8_lane
17	16529565	6985	1016447023.bam	8_lane
18	20696166	90	1016447023.bam	8_lane
19	58982212	185	1016447023.bam	8_lane
1	1591532	220	1016448928.bam	1_lane
2	99517169	21	1016448928.bam	1_lane
3	67630336	160	1016448928.bam	1_lane
4	112362988	10	1016448928.bam	1_lane
5	107896830	195	1016448928.bam	1_lane
6	170928	21	1016448928.bam	1_lane
7	12787195	12	1016448928.bam	1_lane
8	89439942	28	1016448928.bam	1_lane
9	13090	366	1016448928.bam	1_lane
10	86184402	11	1016448928.bam	1_lane
11	40971550	25	1016448928.bam	1_lane
12	77630087	455	1016448928.bam	1_lane
13	78140824	10	1016448928.bam	1_lane
14	49973533	47	1016448928.bam	1_lane
15	62396232	10	1016448928.bam	1_lane
16	89983	89	1016448928.bam	1_lane
17	16529567	871	1016448928.bam	1_lane
18	20696181	18	1016448928.bam	1_lane
19	58982205	25	1016448928.bam	1_lane
1	1591532	731	1016448928.bam	2_lane
2	99517169	26	1016448928.bam	2_lane
3	67630336	323	1016448928.bam	2_lane
4	116690620	16	1016448928.bam	2_lane
5	107896830	315	1016448928.bam	2_lane
6	170970	41	1016448928.bam	2_lane
7	73566798	17	1016448928.bam	2_lane
8	89439940	43	1016448928.bam	2_lane
9	13090	672	1016448928.bam	2_lane
10	72247435	19	1016448928.bam	2_lane
11	40971550	51	1016448928.bam	2_lane
12	77630086	847	1016448928.bam	2_lane
13	61272733	27	1016448928.bam	2_lane
14	49973513	97	1016448928.bam	2_lane
15	62396232	19	1016448928.bam	2_lane
16	89983	165	1016448928.bam	2_lane
17	16529567	2127	1016448928.bam	2_lane
18	20696157	46	1016448928.bam	2_lane
19	58982206	43	1016448928.bam	2_lane
1	1591532	1144	1016448928.bam	4_lane
2	99517169	55	1016448928.bam	4_lane
3	67630336	635	1016448928.bam	4_lane
4	112362988	36	1016448928.bam	4_lane
5	107896830	687	1016448928.bam	4_lane
6	170928	74	1016448928.bam	4_lane
7	96877168	34	1016448928.bam	4_lane
8	89439939	95	1016448928.bam	4_lane
9	13090	1378	1016448928.bam	4_lane
10	72247435	36	1016448928.bam	4_lane
11	40971550	102	1016448928.bam	4_lane
12	77630086	1693	1016448928.bam	4_lane
13	61272733	53	1016448928.bam	4_lane
14	49973513	212	1016448928.bam	4_lane
15	62396232	38	1016448928.bam	4_lane
16	89983	344	1016448928.bam	4_lane
17	16529567	3938	1016448928.bam	4_lane
18	20696157	87	1016448928.bam	4_lane
19	58982205	87	1016448928.bam	4_lane
1	1591532	2304	1016448928.bam	8_lane
2	99517169	105	1016448928.bam	8_lane
3	67630336	1332	1016448928.bam	8_lane
4	112362988	72	1016448928.bam	8_lane
5	107896830	1374	1016448928.bam	8_lane
6	170926	154	1016448928.bam	8_lane
7	4709350	60	1016448928.bam	8_lane
8	89439939	209	1016448928.bam	8_lane
9	13090	2954	1016448928.bam	8_lane
10	72247435	67	1016448928.bam	8_lane
11	40971550	205	1016448928.bam	8_lane
12	77630086	3540	1016448928.bam	8_lane
13	61272724	108	1016448928.bam	8_lane
14	49973513	459	1016448928.bam	8_lane
15	62396232	63	1016448928.bam	8_lane
16	89983	651	1016448928.bam	8_lane
17	16529549	7878	1016448928.bam	8_lane
18	20696155	181	1016448928.bam	8_lane
19	58982205	194	1016448928.bam	8_lane
1	1591532	265	1016448945.bam	1_lane
2	99517169	34	1016448945.bam	1_lane
3	67630336	181	1016448945.bam	1_lane
4	118360955	15	1016448945.bam	1_lane
5	107896830	238	1016448945.bam	1_lane
6	116835365	27	1016448945.bam	1_lane
7	98754781	13	1016448945.bam	1_lane
8	89439942	34	1016448945.bam	1_lane
9	13090	471	1016448945.bam	1_lane
10	70838951	19	1016448945.bam	1_lane
11	40971550	33	1016448945.bam	1_lane
12	77630081	726	1016448945.bam	1_lane
13	36905966	19	1016448945.bam	1_lane
14	49973518	47	1016448945.bam	1_lane
15	44051888	14	1016448945.bam	1_lane
16	89983	98	1016448945.bam	1_lane
17	16529565	1129	1016448945.bam	1_lane
18	20696154	27	1016448945.bam	1_lane
19	58982219	28	1016448945.bam	1_lane
1	1591532	956	1016448945.bam	2_lane
2	21507514	47	1016448945.bam	2_lane
3	67630336	367	1016448945.bam	2_lane
4	112362988	22	1016448945.bam	2_lane
5	107896830	461	1016448945.bam	2_lane
6	170970	47	1016448945.bam	2_lane
7	97670933	18	1016448945.bam	2_lane
8	89439942	61	1016448945.bam	2_lane
9	13090	916	1016448945.bam	2_lane
10	70838951	27	1016448945.bam	2_lane
11	40971550	58	1016448945.bam	2_lane
12	77630086	1381	1016448945.bam	2_lane
13	36888631	30	1016448945.bam	2_lane
14	49973533	92	1016448945.bam	2_lane
15	75282054	24	1016448945.bam	2_lane
16	89983	169	1016448945.bam	2_lane
17	16529567	2769	1016448945.bam	2_lane
18	20696155	66	1016448945.bam	2_lane
19	58982214	71	1016448945.bam	2_lane
1	1591532	1491	1016448945.bam	4_lane
2	99517169	110	1016448945.bam	4_lane
3	67630336	749	1016448945.bam	4_lane
4	112362988	38	1016448945.bam	4_lane
5	107896830	966	1016448945.bam	4_lane
6	170970	93	1016448945.bam	4_lane
7	63458446	35	1016448945.bam	4_lane
8	89439942	133	1016448945.bam	4_lane
9	13090	1883	1016448945.bam	4_lane
10	70838951	64	1016448945.bam	4_lane
11	40971550	123	1016448945.bam	4_lane
12	77630081	2816	1016448945.bam	4_lane
13	36905966	57	1016448945.bam	4_lane
14	49973518	187	1016448945.bam	4_lane
15	80838716	38	1016448945.bam	4_lane
16	89983	375	1016448945.bam	4_lane
17	16529549	5157	1016448945.bam	4_lane
18	20696154	123	1016448945.bam	4_lane
19	58982214	126	1016448945.bam	4_lane
1	1591532	2616	1016448945.bam	8_lane
2	99517169	179	1016448945.bam	8_lane
3	67630336	1406	1016448945.bam	8_lane
4	112362988	65	1016448945.bam	8_lane
5	107896827	1691	1016448945.bam	8_lane
6	170928	178	1016448945.bam	8_lane
7	22511920	67	1016448945.bam	8_lane
8	89439941	256	1016448945.bam	8_lane
9	13090	3781	1016448945.bam	8_lane
10	70838951	103	1016448945.bam	8_lane
11	40971550	266	1016448945.bam	8_lane
12	77630081	5597	1016448945.bam	8_lane
13	36888631	99	1016448945.bam	8_lane
14	49973518	394	1016448945.bam	8_lane
15	44051888	58	1016448945.bam	8_lane
16	89983	743	1016448945.bam	8_lane
17	16529549	8007	1016448945.bam	8_lane
18	20696154	212	1016448945.bam	8_lane
19	58982206	216	1016448945.bam	8_lane
1	1591532	223	1016448946.bam	1_lane
2	99517169	118	1016448946.bam	1_lane
3	67630336	170	1016448946.bam	1_lane
4	112362988	13	1016448946.bam	1_lane
5	107896830	179	1016448946.bam	1_lane
6	161560	18	1016448946.bam	1_lane
7	62285308	11	1016448946.bam	1_lane
8	89439942	25	1016448946.bam	1_lane
9	13090	493	1016448946.bam	1_lane
10	71670980	11	1016448946.bam	1_lane
11	10193	37	1016448946.bam	1_lane
12	77630088	523	1016448946.bam	1_lane
13	41916162	11	1016448946.bam	1_lane
14	49973529	60	1016448946.bam	1_lane
15	77818878	12	1016448946.bam	1_lane
16	89983	86	1016448946.bam	1_lane
17	16529567	924	1016448946.bam	1_lane
18	20696172	31	1016448946.bam	1_lane
19	58982219	22	1016448946.bam	1_lane
1	1591532	695	1016448946.bam	2_lane
2	99517169	181	1016448946.bam	2_lane
3	67630336	390	1016448946.bam	2_lane
4	112362988	34	1016448946.bam	2_lane
5	107896830	376	1016448946.bam	2_lane
6	159804	40	1016448946.bam	2_lane
7	4709350	19	1016448946.bam	2_lane
8	89439942	58	1016448946.bam	2_lane
9	13090	987	1016448946.bam	2_lane
10	71670980	25	1016448946.bam	2_lane
11	10193	80	1016448946.bam	2_lane
12	77630080	1020	1016448946.bam	2_lane
13	61272728	19	1016448946.bam	2_lane
14	49973533	120	1016448946.bam	2_lane
15	77822568	19	1016448946.bam	2_lane
16	89983	160	1016448946.bam	2_lane
17	16529551	2086	1016448946.bam	2_lane
18	20696171	40	1016448946.bam	2_lane
19	58982219	41	1016448946.bam	2_lane
1	1591532	1162	1016448946.bam	4_lane
2	99517169	417	1016448946.bam	4_lane
3	67630336	754	1016448946.bam	4_lane
4	112362988	59	1016448946.bam	4_lane
5	107896830	757	1016448946.bam	4_lane
6	159801	84	1016448946.bam	4_lane
7	34313436	30	1016448946.bam	4_lane
8	89439942	110	1016448946.bam	4_lane
9	13090	1978	1016448946.bam	4_lane
10	71670980	42	1016448946.bam	4_lane
11	10193	173	1016448946.bam	4_lane
12	77630080	2040	1016448946.bam	4_lane
13	75300879	31	1016448946.bam	4_lane
14	49973529	235	1016448946.bam	4_lane
15	36902443	30	1016448946.bam	4_lane
16	89983	322	1016448946.bam	4_lane
17	16529549	4049	1016448946.bam	4_lane
18	20696171	92	1016448946.bam	4_lane
19	58982219	81	1016448946.bam	4_lane
1	1591532	2058	1016448946.bam	8_lane
2	99517169	855	1016448946.bam	8_lane
3	67630336	1458	1016448946.bam	8_lane
4	112362988	103	1016448946.bam	8_lane
5	107896830	1430	1016448946.bam	8_lane
6	159801	136	1016448946.bam	8_lane
7	4709350	55	1016448946.bam	8_lane
8	89439938	227	1016448946.bam	8_lane
9	13090	4125	1016448946.bam	8_lane
10	71670980	70	1016448946.bam	8_lane
11	10193	262	1016448946.bam	8_lane
12	77630080	3910	1016448946.bam	8_lane
13	30998271	58	1016448946.bam	8_lane
14	49973528	494	1016448946.bam	8_lane
15	23268892	55	1016448946.bam	8_lane
16	89983	647	1016448946.bam	8_lane
17	16529549	7376	1016448946.bam	8_lane
18	20696154	181	1016448946.bam	8_lane
19	58982219	162	1016448946.bam	8_lane
1	1591532	240	1016448955.bam	1_lane
2	52380273	16	1016448955.bam	1_lane
3	67630336	81	1016448955.bam	1_lane
4	112362988	12	1016448955.bam	1_lane
5	107896830	183	1016448955.bam	1_lane
6	161560	21	1016448955.bam	1_lane
7	96877168	9	1016448955.bam	1_lane
8	89439943	25	1016448955.bam	1_lane
9	13090	344	1016448955.bam	1_lane
10	70838951	14	1016448955.bam	1_lane
11	10193	16	1016448955.bam	1_lane
12	77630086	421	1016448955.bam	1_lane
13	61272731	10	1016448955.bam	1_lane
14	49973533	43	1016448955.bam	1_lane
15	78975092	9	1016448955.bam	1_lane
16	89983	43	1016448955.bam	1_lane
17	16529565	842	1016448955.bam	1_lane
18	20696169	29	1016448955.bam	1_lane
19	58982219	17	1016448955.bam	1_lane
1	1591532	674	1016448955.bam	2_lane
2	52380273	25	1016448955.bam	2_lane
3	67630336	120	1016448955.bam	2_lane
4	112362988	23	1016448955.bam	2_lane
5	107896830	365	1016448955.bam	2_lane
6	159787	47	1016448955.bam	2_lane
7	20453177	19	1016448955.bam	2_lane
8	89439943	49	1016448955.bam	2_lane
9	13090	679	1016448955.bam	2_lane
10	70838955	17	1016448955.bam	2_lane
11	40971550	44	1016448955.bam	2_lane
12	77630086	866	1016448955.bam	2_lane
13	61272727	40	1016448955.bam	2_lane
14	49973533	92	1016448955.bam	2_lane
15	77986990	14	1016448955.bam	2_lane
16	89983	67	1016448955.bam	2_lane
17	16529565	2026	1016448955.bam	2_lane
18	20696155	62	1016448955.bam	2_lane
19	58982219	40	1016448955.bam	2_lane
1	1591532	1145	1016448955.bam	4_lane
2	52380273	47	1016448955.bam	4_lane
3	67630336	259	1016448955.bam	4_lane
4	112362988	44	1016448955.bam	4_lane
5	107896830	714	1016448955.bam	4_lane
6	159787	88	1016448955.bam	4_lane
7	43124605	27	1016448955.bam	4_lane
8	89439943	103	1016448955.bam	4_lane
9	13090	1364	1016448955.bam	4_lane
10	70838951	47	1016448955.bam	4_lane
11	40971550	69	1016448955.bam	4_lane
12	77630086	1732	1016448955.bam	4_lane
13	61272727	67	1016448955.bam	4_lane
14	49973533	188	1016448955.bam	4_lane
15	77986990	31	1016448955.bam	4_lane
16	89983	154	1016448955.bam	4_lane
17	16529565	3822	1016448955.bam	4_lane
18	20696155	116	1016448955.bam	4_lane
19	58982206	79	1016448955.bam	4_lane
1	1591532	2020	1016448955.bam	8_lane
2	99517169	96	1016448955.bam	8_lane
3	67630336	507	1016448955.bam	8_lane
4	112362988	75	1016448955.bam	8_lane
5	107896830	1385	1016448955.bam	8_lane
6	159787	180	1016448955.bam	8_lane
7	22422411	60	1016448955.bam	8_lane
8	89439942	200	1016448955.bam	8_lane
9	13090	2658	1016448955.bam	8_lane
10	70838951	93	1016448955.bam	8_lane
11	40971550	155	1016448955.bam	8_lane
12	77630086	3305	1016448955.bam	8_lane
13	61272727	125	1016448955.bam	8_lane
14	49973529	348	1016448955.bam	8_lane
15	77986990	55	1016448955.bam	8_lane
16	89983	287	1016448955.bam	8_lane
17	16529565	6881	1016448955.bam	8_lane
18	20696155	268	1016448955.bam	8_lane
19	58982206	160	1016448955.bam	8_lane
1	1591532	243	1016448965.bam	1_lane
2	52380273	16	1016448965.bam	1_lane
3	67630336	126	1016448965.bam	1_lane
4	112362988	12	1016448965.bam	1_lane
5	107896830	233	1016448965.bam	1_lane
6	159804	22	1016448965.bam	1_lane
7	81642648	11	1016448965.bam	1_lane
8	89439942	27	1016448965.bam	1_lane
9	13090	498	1016448965.bam	1_lane
10	75607380	14	1016448965.bam	1_lane
11	40971550	39	1016448965.bam	1_lane
12	77630086	741	1016448965.bam	1_lane
13	36888631	14	1016448965.bam	1_lane
14	49973533	54	1016448965.bam	1_lane
15	77986990	10	1016448965.bam	1_lane
16	89983	97	1016448965.bam	1_lane
17	16529572	993	1016448965.bam	1_lane
18	1059554	16	1016448965.bam	1_lane
19	58982219	17	1016448965.bam	1_lane
1	1591532	815	1016448965.bam	2_lane
2	220498921	27	1016448965.bam	2_lane
3	67630336	238	1016448965.bam	2_lane
4	112362988	23	1016448965.bam	2_lane
5	107896830	431	1016448965.bam	2_lane
6	159804	45	1016448965.bam	2_lane
7	82058593	21	1016448965.bam	2_lane
8	89439942	68	1016448965.bam	2_lane
9	13090	937	1016448965.bam	2_lane
10	70838951	26	1016448965.bam	2_lane
11	40971550	66	1016448965.bam	2_lane
12	77630086	1327	1016448965.bam	2_lane
13	36905966	28	1016448965.bam	2_lane
14	49973533	128	1016448965.bam	2_lane
15	38908659	20	1016448965.bam	2_lane
16	89983	181	1016448965.bam	2_lane
17	16529565	2498	1016448965.bam	2_lane
18	1059554	29	1016448965.bam	2_lane
19	58982219	53	1016448965.bam	2_lane
1	1591532	1306	1016448965.bam	4_lane
2	21507514	57	1016448965.bam	4_lane
3	67630336	472	1016448965.bam	4_lane
4	112362988	46	1016448965.bam	4_lane
5	107896829	907	1016448965.bam	4_lane
6	159804	93	1016448965.bam	4_lane
7	85838175	32	1016448965.bam	4_lane
8	89439942	122	1016448965.bam	4_lane
9	13090	1978	1016448965.bam	4_lane
10	70838951	52	1016448965.bam	4_lane
11	40971550	129	1016448965.bam	4_lane
12	77630086	2785	1016448965.bam	4_lane
13	61272731	49	1016448965.bam	4_lane
14	49973533	238	1016448965.bam	4_lane
15	77986990	36	1016448965.bam	4_lane
16	89983	372	1016448965.bam	4_lane
17	16529565	4674	1016448965.bam	4_lane
18	1059554	63	1016448965.bam	4_lane
19	58982215	86	1016448965.bam	4_lane
